,city,AVGprice,longitude,latitude,GDP,population,shopnum
0,深圳,16.49270665,114.025974,22.546054,26927,551,1234
1,上海,17.01623377,121.487899,31.249162,38156,1469,924
2,重庆,13.90438695,106.530635,29.544606,23606,3416,889
3,天津,14.58314351,117.210813,39.14393,14104,1108,878
4,北京,18.5812357,116.395645,39.929986,35371,1397,874
5,武汉,12.72938444,114.3162,30.581084,16223,906,861
6,杭州,15.8,120.219375,30.259244,15373,795,860
7,成都,13.49822485,104.067923,30.679943,17013,1500,845
8,郑州,11.09047619,113.649644,34.75661,11590,882,840
9,南京,15.95127893,118.778074,32.057236,14031,710,821
10,广州,14.35148515,113.30765,23.120049,23629,954,808
11,苏州,15.62280702,120.619907,31.317987,19236,723,798
12,长沙,12.70198675,112.979353,28.213478,11574,738,755
13,南昌,13.63175676,115.893528,28.689578,5596,536,592
14,厦门,14.94956522,118.103886,24.489231,5995,261,575
15,济南,12.52530541,117.024967,36.682785,9443,797,573
16,南宁,11.36851852,108.297234,22.806493,4507,782,540
17,昆明,14.8128655,102.714601,25.049153,6476,578,513
18,西安,11.1003937,108.953098,34.2778,9321,957,508
19,福州,14.94455446,119.330221,26.047125,9392,710,505
20,石家庄,12.23061224,114.522082,38.048958,5810,1052,490
21,合肥,13.44927536,117.282699,31.866942,9409,770,483
22,海口,13.1085595,110.330802,20.022071,1672,183,479
23,贵阳,15.27405858,106.709177,26.629907,4040,428,478
24,沈阳,14.80339806,123.432791,41.808645,6470,756,412
25,长春,14.9343832,125.313642,43.898338,5904,754,381
26,乌鲁木齐,14.776,87.564988,43.84038,3413,227,375
27,兰州,12.29850746,103.823305,36.064226,2837,332,335
28,哈尔滨,13.94153846,126.657717,45.773225,5249,951,325
29,太原,14.07419355,112.550864,37.890277,4029,384,310
30,三亚,16.03731343,109.522771,18.257776,678,63,268
31,银川,14.3699187,106.206479,38.502621,1897,200,246
32,呼和浩特,14.70762712,111.660351,40.828319,2791,249,236
33,西宁,13.79910714,101.767921,36.640739,1328,209,224
34,拉萨,16.08108108,91.111891,29.662557,618,56,74
